L	N	Va	alpha	genlen	r	gen	kvar	zbar	ac_var	ac_cov	neut_ssh	sel_ssh	sel_het	neut_het	neut_ssh_delta	neut_ssh0	sel_ssh0	zvar0	var_type	variance	cov
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	26	2.0114914914914914	0.1877096824640072	0.004126518483904983	-0.0012051908154807763	56.526728955	50.432815495	0.10086563099	0.10280951757848023	0.9846747596930713	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.006086695771556886	3.022694751525797e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	27	2.016756756756757	0.19357005475389524	0.004064119376748705	-0.0012623506098287432	55.66044325	49.67019619	0.09934039238	0.1012339370157506	0.9857450843243151	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0058094320635254815	2.8799962064825316e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	28	2.017297297297297	0.19932785805928882	0.004004739643077285	-0.0013099588310479507	54.867008325	48.944478575	0.09788895715	0.09979085578007348	0.9867164232705593	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.005569989003366939	2.7565101012191965e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	29	2.0130930930930933	0.2047707924870946	0.003950289836518807	-0.0013532510989065734	54.13817821	48.279012745	0.09655802549	0.09846527629042232	0.9841969580749216	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0053943819461614185	2.664989009528588e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	30	2.0174174174174175	0.21027217333125198	0.003889253427216374	-0.001411290418561874	53.28263031	47.53304784	0.09506609568	0.09690922540104034	0.9823443659870627	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.005208523934696892	2.568729269197355e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	31	2.0163363363363365	0.21543681585100294	0.003820384205383383	-0.0014467398097725876	52.34189169	46.691353135	0.09338270627	0.09519823158488232	0.9834832458841917	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.004951364126885735	2.4376981907771656e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	32	2.0304304304304304	0.2208068521227466	0.003757091849309343	-0.0014860017373753006	51.477373535	45.917816865	0.09183563373	0.09362586580153504	0.9864070034667902	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.004748085307585481	2.333600104285932e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	33	2.026046046046046	0.225934533998459	0.003705421527361772	-0.0015141726926413415	50.777641775	45.28632089	0.09057264178	0.09235320973227601	0.9852591989538096	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.004560690536857393	2.2376534629713673e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	34	2.013933933933934	0.23047915851717607	0.003649936400913803	-0.0015225744542724203	50.02913866	44.608201755	0.08921640351	0.09099184944163544	0.9860604657869599	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.004374158650096673	2.1424589284671345e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	35	2.0113113113113115	0.23462399420106803	0.0036003087175887896	-0.0015490303481170515	49.33175577	44.00167017	0.08800334034	0.08972346544323596	0.9856435995649135	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.004263975110195198	2.0849220670380965e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	36	2.0184784784784786	0.23867879426764813	0.0035471649102653026	-0.0015712816034665548	48.62352933	43.35216579	0.08670433158	0.08843535944490923	0.98633783038472	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.004105415907530975	2.0039687930615576e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	37	2.0063663663663664	0.24263319950526543	0.0034988916128968883	-0.0015906877917526276	47.959226425	42.76218702	0.08552437404	0.08722714056418462	0.9849780691077944	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.003945926667006892	1.9228387480215044e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	38	2.022742742742743	0.24652314742594358	0.003446957409383244	-0.0016043096138628114	47.23878624	42.12746598	0.08425493195999999	0.08591682048670474	0.9854748047184372	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0038190899719576367	1.8578696350005482e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	39	1.9956756756756757	0.25045504375923294	0.003396011576651645	-0.0016184143565074617	46.552633645	41.50482445	0.0830096489	0.08466886189116438	0.9859356480238508	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.003685171193613225	1.7896822531714867e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	40	2.0273873873873876	0.25398970908773444	0.003347251679618384	-0.0016295793500181457	45.89790102	40.908898635	0.08181779727	0.08347804921610708	0.985564409694655	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.003563652187665571	1.7277381089302488e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	41	2.016876876876877	0.25774933556801377	0.0033006517303596186	-0.001647674489827912	45.235337725	40.33937092	0.08067874184	0.08227299429813392	0.9857719280463269	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0034194012109024785	1.655001605336793e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	42	2.002222222222222	0.26092245162074734	0.0032533887807781278	-0.0016606304372052678	44.591726085	39.761740255	0.07952348051	0.08110240821541594	0.9853510004579139	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0032951183857850715	1.592159417087379e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	43	2.0114714714714714	0.2642188550812773	0.003207595384202797	-0.0016741876288629725	43.93850191	39.202069935	0.07840413987	0.07991433907460622	0.9860897186196307	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.003192740932491486	1.540095976825184e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	44	2.0113313313313315	0.26756347363800975	0.0031633028846316308	-0.0016773972812598938	43.327304985	38.660743035	0.07732148607	0.0788027081317522	0.9882758379461667	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0030658069088316145	1.4763825004430854e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	45	2.00984984984985	0.27051981359508487	0.003125771155537401	-0.0016692944443696845	42.81932864	38.202043825	0.07640408765	0.07787881241133461	0.984190944568719	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.002977878104393549	1.4316352801717604e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	46	2.0208008008008007	0.27290038601077077	0.0030768570815447476	-0.0016695465816017408	42.1423955	37.604233715	0.07520846743	0.07664762194900149	0.9868005585966275	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.002920387564690564	1.4016473143527524e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	47	2.012832832832833	0.2761370641399305	0.0030347328637372875	-0.0016664727677877774	41.58613942	37.08940677	0.07417881354	0.0756359161543778	0.9878215370057544	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0028137325790478906	1.3482028915022588e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	48	2.0043643643643643	0.27901705287039313	0.0029959049364673912	-0.0016634904057081462	41.07968416	36.614865895	0.07322973179	0.07471478694845585	0.9878850711689602	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0027428801453239695	1.3120634326210158e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	49	2.0074474474474475	0.2815576175549102	0.002960726136234319	-0.001653693738593035	40.58200671	36.18492333	0.07236984665999999	0.073809622621949	0.9884892912433308	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0026649181943614896	1.2726495679145813e-4
500	1e3	0.01	0.012789150186343174	0.01	0.009900663346622374	50	2.001761761761762	0.28398461458577257	0.0029274815374413328	-0.0016461074282070375	40.11487905	35.778619875	0.07155723974999999	0.07296002155250808	NA	68.366516205	61.07594405	0.009832149342488387	additive genetic	0.0026041901431692787	1.2415836255125697e-4
500	1e3	0.01	0.012789150186343174	0.1	0.09063462346100909	6	2.0485685685685686	0.03085753367810695	0.004997756265112389	-4.96545172892905e-5	67.065945675	61.08076835	0.1221615367	0.12126122493536079	0.9989120886276088	67.08573257	61.138719975	0.009928099832959563	additive genetic	0.009912375887217634	1.0282774418742086e-4
