N	rho	t0	t1	var	Ne	group
100	2e3	8	8	0.005050215285570599	99.50319627954117	A
100	2e3	9	9	0.005163799734354272	97.31449488075646	A
100	2e3	10	10	0.0051641507006152075	97.30788118832508	A
100	2e3	11	11	0.005066027468084761	99.19262498670344	A
100	2e3	12	12	0.005068387173294451	99.14644355936943	A
100	2e3	13	13	0.0050393626018551685	99.71748463368714	A
100	2e3	14	14	0.005206921861192201	96.50856613757841	A
100	2e3	15	15	0.005023588106090413	100.03060605323964	A
100	2e3	16	16	0.005029820579698256	99.90665767330742	A
100	2e3	17	17	0.005161513093809925	97.35760690343326	A
100	2e3	18	18	0.005018668655173307	100.12865908094452	A
100	2e3	19	19	0.005013220018166429	100.23748429015946	A
100	2e3	20	20	0.004980131595963363	100.9034707479178	A
100	2e3	21	21	0.005044307157946052	99.61973906019715	A
100	2e3	22	22	0.005053440934891556	99.43968264167592	A
100	2e3	23	23	0.005116639516726857	98.21144545581168	A
100	2e3	24	24	0.0050725333352861545	99.06540373395543	A
100	2e3	25	25	0.005210664972912583	96.43923864350523	A
100	2e3	26	26	0.005105829576644866	98.41937637571534	A
100	2e3	27	27	0.004999940318713489	100.50371220098272	A
100	2e3	28	28	0.004995661515993156	100.58979400532283	A
100	2e3	29	29	0.005131711566660973	97.92299436288036	A
100	2e3	30	30	0.0049173455202968334	102.19183515575624	A
100	2e3	31	31	0.0049774991984586955	100.95683450228894	A
100	2e3	32	32	0.005048029228391573	99.54628629877868	A
100	2e3	33	33	0.004948678396723461	101.54480096075466	A
100	2e3	34	34	0.005107941616566255	98.37868177355514	A
100	2e3	35	35	0.00502523785144354	99.99776680614622	A
100	2e3	36	36	0.005107447342534762	98.38820238618058	A
100	2e3	37	37	0.005177013900937278	97.06610266646038	A
100	2e3	38	38	0.005237264100650878	95.94944099756567	A
100	2e3	39	39	0.004978322291724281	100.94014275641065	A
100	2e3	40	40	0.00501249235665515	100.25203572567607	A
100	2e3	41	41	0.004962538845136453	101.26118474751263	A
100	2e3	42	42	0.005077875571213678	98.96118086524191	A
100	2e3	43	43	0.0050420081472868795	99.66516279519976	A
100	2e3	44	44	0.0051949816068254245	96.73038344425404	A
100	2e3	45	45	0.004921845096778918	102.09841084656193	A
100	2e3	46	46	0.0051763771614727	97.07804264229918	A
100	2e3	47	47	0.00495724214252324	101.36938006386976	A
100	2e3	48	48	0.005067762195304184	99.15867072052063	A
100	2e3	49	49	0.005117455325540873	98.19578889258969	A
500	0	1	1	9.231217792879414e-4	542.1825286004694	A
500	0	2	2	0.0010196928064680772	490.834589913496	A
500	0	3	3	0.0011010361255731223	454.5722786706703	A
500	0	4	4	0.001029130511635638	486.33336087279656	A
500	0	5	5	0.0010323349935724326	484.8237283602102	A
500	0	6	6	8.859309508086406e-4	564.9430128202031	A
500	0	7	7	0.001032239345449941	484.8686525142463	A
500	0	8	8	0.001023359787608061	489.0757938323334	A
500	0	9	9	0.0010802349685181305	463.32558664258806	A
500	0	10	10	9.228885463544928e-4	542.3195492863471	A
500	0	11	11	8.682860453084946e-4	576.4235221846471	A
500	0	12	12	0.00106354047743855	470.5984502873975	A
500	0	13	13	9.939683237811861e-4	503.53767673051266	A
500	0	14	14	9.678499332202341e-4	517.126140449515	A
500	0	15	15	9.705142900446281e-4	515.7064719546639	A
500	0	16	16	0.001129876339030095	442.96927301808853	A
500	0	17	17	9.524501286896699e-4	525.4873566861315	A
