rep	L	N	Va	genlen	Nest	va0_est	emp_va	Ne_est
29	500	1000	0.001	0.1	1066.8063323082297	-7.074834041202455e-4	0.0014806420812114819	956.7532850330175
30	500	1000	0.001	0.1	1272.889656508989	0.002382052706220509	0.0012619241324357273	956.7532850330175
30	500	1000	0.001	0.1	1156.7033724634757	0.0025400010300504782	0.0012619241324357273	956.7532850330175
30	500	1000	0.001	0.1	3123.5271455372776	0.0036666682355276817	0.0012619241324357273	956.7532850330175
30	500	1000	0.001	0.1	1237.412375181251	0.0037656198484710152	0.0012619241324357273	956.7532850330175
1	500	1000	0.001	0.5	718.5993631788439	-0.010525343318894343	0.001094342540061443	973.5439276876259
1	500	1000	0.001	0.5	1350.6383313051745	0.009207311850306498	0.001094342540061443	973.5439276876259
1	500	1000	0.001	0.5	778.1658204496719	-0.002853876449785411	0.001094342540061443	973.5439276876259
1	500	1000	0.001	0.5	779.7741882329045	0.007399568723025965	0.001094342540061443	973.5439276876259
2	500	1000	0.001	0.5	707.9310596875847	-0.023658557431234597	8.189214660095416e-4	973.5439276876259
2	500	1000	0.001	0.5	799.9584109429869	-0.003412943350153774	8.189214660095416e-4	973.5439276876259
2	500	1000	0.001	0.5	706.9954057583257	-0.0151658492139479	8.189214660095416e-4	973.5439276876259
2	500	1000	0.001	0.5	-81924.65862351813	0.02479608972044428	8.189214660095416e-4	973.5439276876259
3	500	1000	0.001	0.5	813.8988668996346	-0.015765303342505865	8.859697388007145e-4	973.5439276876259
3	500	1000	0.001	0.5	531.1461510204963	-0.0255300595809903	8.859697388007145e-4	973.5439276876259
3	500	1000	0.001	0.5	889.779053966264	-0.006543656454783405	8.859697388007145e-4	973.5439276876259
3	500	1000	0.001	0.5	568.5615279910733	-0.019740206775122445	8.859697388007145e-4	973.5439276876259
4	500	1000	0.001	0.5	2093.868400608729	0.0194941870982976	0.0010249515106688157	973.5439276876259
4	500	1000	0.001	0.5	763.0383799151182	-0.0069886643950483225	0.0010249515106688157	973.5439276876259
4	500	1000	0.001	0.5	986.6173865577124	-0.007327506558253532	0.0010249515106688157	973.5439276876259
4	500	1000	0.001	0.5	657.7548002165205	-0.015606974759267322	0.0010249515106688157	973.5439276876259
5	500	1000	0.001	0.5	1151.8326635453752	0.006832566881309298	0.0010622613462434025	973.5439276876259
5	500	1000	0.001	0.5	1367.4920026258499	0.011451653967062093	0.0010622613462434025	973.5439276876259
5	500	1000	0.001	0.5	507.59589019164014	-0.024409912232862006	0.0010622613462434025	973.5439276876259
5	500	1000	0.001	0.5	1103.0357610084004	0.008988918855677236	0.0010622613462434025	973.5439276876259
