L	N	Va	alpha	genlen	r	gen	kvar	zvar	zbar	genic_va	ac_var	ac_cov	type	pred	cov
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	14	2.0373628760725535	0.008004815480967913	0.08102036686362422	0.008040076241344766	0.004040239317258676	-2.624512695973125e-4	pred_zvar	0.001161567445036257	0.001161567445036257
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	15	2.0045617464972305	0.007583802620444701	0.08768826887712086	0.007862679368237207	0.003951095159918195	-3.127395082195294e-4	pred_zvar	0.0010975267805489386	0.0010975267805489386
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	16	2.026936026936027	0.00726958572525361	0.09563370465092898	0.0077169629901685695	0.003877870849330939	-3.673200257948548e-4	pred_zvar	0.001049239882283633	0.001049239882283633
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	17	2.035190615835777	0.007041041721283534	0.10315879060682816	0.0076559838021905725	0.0038472280413017956	-5.411382748205099e-4	pred_zvar	0.0010135404568932555	0.0010135404568932555
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	18	2.059085478440317	0.00666194954771979	0.1109064147016203	0.007485217436520117	0.0037614157972462895	-6.000967899375042e-4	pred_zvar	9.564154219265873e-4	9.564154219265873e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	19	2.027370478983382	0.0063460542934679065	0.11740947364927029	0.007285989483423129	0.0036613012479513214	-6.163515741386249e-4	pred_zvar	9.086404928152254e-4	9.086404928152254e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	20	2.0223742804387967	0.006104772629097299	0.12361581507839635	0.007194880814770966	0.0036155179973723444	-6.809643413380794e-4	pred_zvar	8.71771923977326e-4	8.71771923977326e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	21	2.0306288693385466	0.005928985257657886	0.12889079318548888	0.007047888245656787	0.0035416523847521543	-7.624319228585788e-4	pred_zvar	8.444245311128735e-4	8.444245311128735e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	22	2.025849896817639	0.0055655216062990035	0.1352784619870462	0.007020216380411903	0.0035277469248301023	-7.889983357872852e-4	pred_zvar	7.905610822751151e-4	7.905610822751151e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	23	2.0469208211143695	0.005587882709527193	0.14027320688219946	0.0069059056740629725	0.0034703043588256146	-8.650211995529169e-4	pred_zvar	7.916403530919321e-4	7.916403530919321e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	24	2.033452807646356	0.0052025684824110845	0.14626525232572485	0.006747180992218258	0.003390543212169979	-8.62087718966621e-4	pred_zvar	7.35108636685564e-4	7.35108636685564e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	25	2.0512653415879223	0.005133015496085732	0.15103745908198513	0.006586567294915045	0.0033098328115150986	-9.528541799646754e-4	pred_zvar	7.233714461423864e-4	7.233714461423864e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	26	2.026718800912349	0.004777401204592909	0.15546349539996746	0.00646048656917086	0.00324647566289993	-9.647595394869806e-4	pred_zvar	6.714869136647479e-4	6.714869136647479e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	27	2.055827088085153	0.004631179755315654	0.15942797113357918	0.006370628820454424	0.0032013210153037305	-0.0010254292516126476	pred_zvar	6.492269065841348e-4	6.492269065841348e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	28	1.9978277397632236	0.004210849725284856	0.162724832450512	0.006170364751855117	0.0031006858049523202	-0.0010584309082084774	pred_zvar	5.887563803776256e-4	5.887563803776256e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	29	1.9980449657869013	0.004106912713790129	0.16731571183434096	0.005938186430451122	0.0029840132816337296	-0.001065028064765104	pred_zvar	5.727226274205255e-4	5.727226274205255e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	30	2.0449657869012707	0.003837252103627353	0.171387335560753	0.005797322105466519	0.0029132271886766425	-0.0011077698928314494	pred_zvar	5.337208354543785e-4	5.337208354543785e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	31	1.9993483219289672	0.0036354725023225246	0.17441220581903888	0.005625841830943854	0.002827056196454198	-0.001126520040388445	pred_zvar	5.043379045954609e-4	5.043379045954609e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	32	1.9852286303899207	0.00340830692252405	0.17885472644360587	0.005485157562616666	0.00275636058422948	-0.001136311008059589	pred_zvar	4.7159405940582465e-4	4.7159405940582465e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	33	2.0149885956337568	0.0032353402153617087	0.18335494214121917	0.005350424640650364	0.002688655598316766	-0.0011290185785068595	pred_zvar	4.4649893457727633e-4	4.4649893457727633e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	34	1.9876181166503748	0.003152009368913736	0.18574516659599546	0.005258794755358314	0.0026426104298282985	-0.0011282280626345785	pred_zvar	4.3387114384976864e-4	4.3387114384976864e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	35	1.981535787987401	0.003097070231444706	0.1877644941526168	0.005174016499714227	0.0026000082913136815	-0.0011596994836864747	pred_zvar	4.252056902120396e-4	4.252056902120396e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	36	2.0727707179320083	0.0028873455463730123	0.19018768722056245	0.005073247949336166	0.002549370828812144	-0.0011991903549125956	pred_zvar	3.9538798606195065e-4	3.9538798606195065e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	37	2.0527859237536656	0.002768788304428577	0.19386368758894254	0.004877914906039058	0.0024512135206226425	-0.0011907073894076357	pred_zvar	3.781752437678844e-4	3.781752437678844e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	38	2.006082328662974	0.0026022797697739207	0.19760562518366132	0.004749158601543455	0.0023865118600720878	-0.0011875992968816793	pred_zvar	3.545176848629667e-4	3.545176848629667e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	39	1.9658955142826111	0.0023916744248148156	0.2008695178874248	0.004660232725001361	0.0023418254899504327	-0.0011719159699376295	pred_zvar	3.249888708042298e-4	3.249888708042298e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	40	2.038666232214619	0.002307622458314107	0.2019986928884743	0.004577229764821615	0.0023001154597093545	-0.0011653092890933849	pred_zvar	3.1276318568275875e-4	3.1276318568275875e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	41	2.024980992722928	0.002313276550055025	0.20470211916835923	0.004513963541405572	0.0022683233876409905	-0.0011508260223891831	pred_zvar	3.127265800550821e-4	3.127265800550821e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	42	2.0393179102856522	0.0022845338534397954	0.2072407023823975	0.004443978361668081	0.0022331549556121014	-0.0011505339442355693	pred_zvar	3.080513601558452e-4	3.080513601558452e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	43	1.9817530140110786	0.0021704883980199975	0.20888089088757159	0.004464337399510921	0.0022433856278949353	-0.0011722969414423431	pred_zvar	2.919262937636685e-4	2.919262937636685e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	44	2.03584229390681	0.00213369851214371	0.21122990457588622	0.004401750337171093	0.0022119348427995446	-0.001170534948233042	pred_zvar	2.8624698912170813e-4	2.8624698912170813e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	45	1.9485174323884	0.002118363543234652	0.2131338419864149	0.004310392116309529	0.0021660261891002664	-0.0011730779330270064	pred_zvar	2.834669341056763e-4	2.834669341056763e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	46	2.0254154447702835	0.0019969664922329837	0.21543340275497558	0.004216440447803439	0.0021188142953786127	-0.0011496069135740992	pred_zvar	2.665438329725866e-4	2.665438329725866e-4
10	100	0.01	0.07665202561868822	0.01	0.009900663346622374	47	2.0325839035516453	0.0019206681616975294	0.21749394107805858	0.004175605493234876	0.002098294217705968	-0.0011211388178843631	pred_zvar	2.5571019920259374e-4	2.5571019920259374e-4
