N	alpha	rec_frac	t0	t1	cov	gen
1000	0.05	0.02	5	24	-7.838882769532075e-5	24
1000	0.05	0.02	5	25	4.292076803306648e-5	25
1000	0.05	0.02	5	26	3.358333700705581e-5	26
1000	0.05	0.02	5	27	6.847709812543984e-6	27
1000	0.05	0.02	5	28	1.8978951181010655e-5	28
1000	0.05	0.02	5	29	3.940479509757121e-5	29
1000	0.05	0.02	5	30	-2.755206599044129e-5	30
1000	0.05	0.02	5	31	1.4691666927439712e-5	31
1000	0.05	0.02	5	32	-8.836445929159019e-7	32
1000	0.05	0.02	5	33	1.9015415321979594e-5	33
1000	0.05	0.02	5	34	7.257512745108125e-5	34
1000	0.05	0.02	5	35	1.7576927492855446e-5	35
1000	0.05	0.02	5	36	2.0809266083043464e-6	36
1000	0.05	0.02	5	37	6.772363011192516e-7	37
1000	0.05	0.02	5	38	2.0941629837405725e-5	38
1000	0.05	0.02	5	39	-3.823390039192365e-5	39
1000	0.05	0.02	5	40	6.167455217279027e-5	40
1000	0.05	0.02	5	41	-4.0213821042021686e-5	41
1000	0.05	0.02	5	42	-1.6788919228709892e-6	42
1000	0.05	0.02	5	43	4.355567261050148e-6	43
1000	0.05	0.02	5	44	6.583478669989824e-5	44
1000	0.05	0.02	5	45	-3.0483244514268495e-5	45
1000	0.05	0.02	5	46	1.0644011479364949e-5	46
1000	0.05	0.02	5	47	4.077771467195681e-5	47
1000	0.05	0.02	5	48	-4.358184418365414e-5	48
1000	0.05	0.02	5	49	1.9806599978241866e-5	49
1000	0.05	0.02	5	50	-3.712593169643045e-6	50
1000	0.05	0.02	5	51	5.82287458237077e-6	51
1000	0.05	0.02	5	52	-1.1280100894529373e-5	52
1000	0.05	0.02	5	53	9.2820877025655e-6	53
1000	0.05	0.02	5	54	5.564988485899122e-5	54
1000	0.05	0.02	5	55	-6.086334609343232e-6	55
1000	0.05	0.02	5	56	4.771046384800729e-5	56
1000	0.05	0.02	5	57	-3.6037575343880835e-5	57
1000	0.05	0.02	5	58	-7.782520946542429e-6	58
1000	0.05	0.02	5	59	1.2768435517486994e-5	59
1000	0.05	0.02	5	60	-3.5322083152828276e-5	60
1000	0.05	0.02	5	61	-7.879718751483145e-5	61
1000	0.05	0.02	5	62	-2.0802190628417336e-5	62
1000	0.05	0.02	5	63	6.529043447787907e-6	63
1000	0.05	0.02	5	64	1.4944509810809612e-5	64
1000	0.05	0.02	5	65	2.888700317390564e-5	65
1000	0.05	0.02	5	66	-1.7640062727790736e-6	66
1000	0.05	0.02	5	67	2.001802984886204e-5	67
1000	0.05	0.02	5	68	-1.6239395106598997e-5	68
1000	0.05	0.02	5	69	2.8154941228335714e-5	69
1000	0.05	0.02	5	70	-3.1588118127941446e-5	70
1000	0.05	0.02	5	71	-2.3308124724325595e-5	71
1000	0.05	0.02	5	72	8.422436169296209e-6	72
1000	0.05	0.02	5	73	-2.2696271596098975e-5	73
1000	0.05	0.02	5	74	7.11859534012319e-6	74
1000	0.05	0.02	5	75	-4.125178593805592e-5	75
1000	0.05	0.02	5	76	-1.0976710343485382e-5	76
1000	0.05	0.02	5	77	2.126564790368875e-5	77
1000	0.05	0.02	5	78	7.385997475263442e-7	78
1000	0.05	0.02	5	79	5.089920589353717e-5	79
1000	0.05	0.02	5	80	-3.0094972025189807e-5	80
1000	0.05	0.02	5	81	-3.7623888856656385e-5	81
1000	0.05	0.02	5	82	-1.020673197759095e-5	82
1000	0.05	0.02	5	83	-1.7966227807911407e-5	83
1000	0.05	0.02	5	84	4.009733644165428e-5	84
1000	0.05	0.02	5	85	-4.152361489348701e-5	85
1000	0.05	0.02	5	86	3.408530539749148e-7	86
1000	0.05	0.02	5	87	-4.220538781992326e-6	87
1000	0.05	0.02	5	88	5.98209789566412e-5	88
1000	0.05	0.02	5	89	2.0983046886229056e-5	89
1000	0.05	0.02	5	90	-5.688844383074284e-5	90
1000	0.05	0.02	5	91	4.153288016280065e-6	91
